id,Province id,District Name,,
1,7,Abbottabad,,
2,4,Astore,,
3,8,Attock,,
4,2,Awaran,,
5,9,Badin,,
6,1,Bagh,,
7,8,Bahawalnagar,,
8,8,Bahawalpur,,
9,3,Bajaur Agency,,
10,4,Baltistan,,
11,7,Bannu,,
12,2,Barkhan,,
13,7,Battagram,,
14,8,Bhakkar,,
15,1,Bhimber,,
16,2,Kachhi,,
17,7,Buner,,
18,2,Chaghai,,
19,8,Chakwal,,
20,7,Charsadda,,
21,8,Chiniot,,
22,7,Chitral,,
23,9,Dadu,,
24,2,Dera Bughti,,
25,8,Dera Ghazi Khan,,
26,7,Dera Ismail Khan,,
27,4,Diamer,,
28,8,Faisalabad,,
29,4,Ghanche,,
30,4,Ghizer,,
31,9,Ghotki,,
32,4,Gilgit,,
33,8,Gujranwala,,
34,8,Gujrat,,
35,2,Gwadar,,
36,8,Hafizabad,,
37,7,Hangu,,
38,7,Haripur,,
39,2,Harnai,,
40,1,Hattian,,
41,1,Haveli,,
42,9,Hyderabad,,
43,5,Islamabad,,
44,9,Jacobabad,,
45,2,Jafarabad,,
46,9,Jamshoro,,
47,2,Jhal Magsi,,
48,8,Jhang,,
49,8,Jhelum,,
50,2,Kalat,,
51,9,Karachi,,
52,7,Karak,,
53,9,Kashmore,,
54,8,Kasur,,
55,2,Kech,,
56,9,Khairpur,,
57,8,Khanewal,,
58,2,Kharan,,
59,8,Khushab,,
60,2,Khuzdar,,
61,3,Khyber Agency,,
62,2,Killa Abdullah,,
63,2,Killa Saifullah,,
64,7,Kohat,,
65,7,Kohistan,,
66,2,Kohlu,,
67,1,Kotli,,
68,3,Kurram Agency,,
69,8,Lahore,,
70,7,Lakki Marwat,,
71,9,Larkana,,
72,2,Lasbela,,
73,8,Layyah,,
74,8,Lodhran,,
75,2,Loralai,,
76,7,Lower Dir,,
77,7,Malakand,,
78,8,Mandi Bahauddin,,
79,7,Mansehra,,
80,7,Mardan,,
81,2,Mastung,,
82,9,Matiari,,
83,8,Mianwali,,
84,1,Mirpur,,
85,9,Mirpurkhas,,
86,3,Mohmand Agency,,
87,8,Multan,,
88,2,Musakhel,,
89,1,Muzaffarabad,,
90,8,Muzaffargarh,,
91,4,Nagar,,
92,8,Nankana Sahib,,
93,8,Narowal,,
94,2,Nasirabad,,
95,9,Naushahro Firoz,,
96,1,Neelum,,
97,3,North Waziristan,,
98,7,Nowshera,,
99,2,Nushki,,
100,8,Okara,,
101,3,Orakzai Agency,,
102,8,Pakpattan,,
103,2,Panjgur,,
104,7,Peshawar,,
105,2,Pishin,,
106,1,Poonch,,
107,2,Quetta,,
108,8,Rahim Yar Khan,,
109,8,Rajanpur,,
110,8,Rawalpindi,,
111,8,Sahiwal,,
112,9,Sanghar,,
113,8,Sargodha,,
114,9,Kambar Shahdadkot,,
115,9,Shaheed Benazirabad,,
116,7,Shangla,,
117,2,Sherani,,
118,8,Sheikhupura,,
119,9,Shikarpur,,
120,8,Sialkot,,
121,2,Sibi,,
122,3,South Waziristan,,
123,1,Sudhanoti,,
124,9,Sukkur,,
125,7,Swabi,,
126,7,Swat,,
127,8,Toba Tek Singh,,
128,9,Tando Allahyar,,
129,9,Tando Muhammad Khan,,
130,7,Tank,,
131,9,Tharparkar,,
132,9,Thatta,,
133,9,Umerkot,,
134,7,Upper Dir,,
135,8,Vehari,,
136,2,Washuk,,
137,2,Zhob,,
138,2,Ziarat,,
